source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2021-07,0.50pct_equity,0.38,0.77,1.65,3.3,False,False,False,False
canonical,2021-08,0.50pct_equity,0.63,1.26,2.72,5.44,False,False,False,False
canonical,2021-09,0.50pct_equity,0.1,0.19,0.41,0.82,False,False,False,False
canonical,2021-10,0.50pct_equity,0.06,0.12,0.25,0.51,False,False,False,False
canonical,2021-11,0.50pct_equity,0.58,1.17,2.51,5.03,False,False,False,False
canonical,2021-12,0.50pct_equity,0.16,0.32,0.69,1.37,False,False,False,False
canonical,2022-01,0.50pct_equity,0.52,1.04,2.24,4.47,False,False,False,False
canonical,2022-02,0.50pct_equity,0.35,0.71,1.52,3.03,False,False,False,False
canonical,2022-03,0.50pct_equity,0.63,1.27,2.73,5.46,False,False,False,False
canonical,2022-04,0.50pct_equity,0.31,0.62,1.34,2.68,False,False,False,False
canonical,2022-05,0.50pct_equity,0.38,0.75,1.61,3.23,False,False,False,False
canonical,2022-06,0.50pct_equity,0.18,0.37,0.79,1.58,False,False,False,False
canonical,2022-07,0.50pct_equity,0.58,1.16,2.5,5.01,False,False,False,False
canonical,2022-08,0.50pct_equity,0.32,0.63,1.36,2.71,False,False,False,False
canonical,2022-09,0.50pct_equity,0.65,1.3,2.8,5.61,False,False,False,False
canonical,2022-10,0.50pct_equity,0.56,1.11,2.39,4.78,False,False,False,False
canonical,2022-11,0.50pct_equity,0.32,0.63,1.36,2.72,False,False,False,False
canonical,2022-12,0.50pct_equity,0.0,0.0,0.01,0.01,False,False,False,False
canonical,2023-01,0.50pct_equity,0.01,0.03,0.06,0.12,False,False,False,False
canonical,2023-02,0.50pct_equity,0.34,0.67,1.44,2.89,False,False,False,False
canonical,2023-03,0.50pct_equity,0.36,0.72,1.54,3.08,False,False,False,False
canonical,2023-04,0.50pct_equity,0.09,0.18,0.39,0.77,False,False,False,False
canonical,2023-05,0.50pct_equity,0.32,0.64,1.38,2.76,False,False,False,False
canonical,2023-06,0.50pct_equity,0.01,0.03,0.06,0.11,False,False,False,False
canonical,2023-07,0.50pct_equity,0.03,0.07,0.14,0.28,False,False,False,False
canonical,2023-08,0.50pct_equity,0.21,0.41,0.89,1.77,False,False,False,False
canonical,2023-09,0.50pct_equity,0.41,0.81,1.75,3.5,False,False,False,False
canonical,2023-10,0.50pct_equity,0.66,1.32,2.84,5.69,False,False,False,False
canonical,2023-11,0.50pct_equity,0.01,0.01,0.03,0.05,False,False,False,False
canonical,2023-12,0.50pct_equity,0.54,1.09,2.34,4.68,False,False,False,False
canonical,2024-01,0.50pct_equity,0.13,0.26,0.55,1.11,False,False,False,False
canonical,2024-02,0.50pct_equity,0.12,0.24,0.52,1.03,False,False,False,False
canonical,2024-03,0.50pct_equity,0.77,1.55,3.33,6.66,False,False,False,False
canonical,2024-04,0.50pct_equity,0.84,1.68,3.62,7.24,False,False,False,False
canonical,2024-05,0.50pct_equity,0.91,1.82,3.91,7.82,False,False,False,False
canonical,2024-06,0.50pct_equity,-0.39,-0.78,-1.67,-3.35,False,False,False,False
canonical,2024-07,0.50pct_equity,1.29,2.57,5.53,11.06,True,False,False,False
canonical,2024-08,0.50pct_equity,0.11,0.22,0.48,0.96,False,False,False,False
canonical,2024-09,0.50pct_equity,0.59,1.17,2.52,5.04,False,False,False,False
canonical,2024-10,0.50pct_equity,0.28,0.56,1.2,2.4,False,False,False,False
canonical,2024-11,0.50pct_equity,1.06,2.12,4.56,9.12,False,False,False,False
canonical,2024-12,0.50pct_equity,0.2,0.39,0.84,1.69,False,False,False,False
canonical,2025-01,0.50pct_equity,0.71,1.43,3.07,6.14,False,False,False,False
canonical,2025-02,0.50pct_equity,0.29,0.57,1.23,2.46,False,False,False,False
canonical,2025-03,0.50pct_equity,0.84,1.68,3.61,7.21,False,False,False,False
canonical,2025-04,0.50pct_equity,3.93,7.86,16.9,33.81,True,True,True,False
canonical,2025-05,0.50pct_equity,3.48,6.96,14.96,29.91,True,True,True,False
canonical,2025-06,0.50pct_equity,1.15,2.3,4.94,9.88,False,False,False,False
canonical,2025-07,0.50pct_equity,1.08,2.16,4.65,9.3,False,False,False,False
canonical,2025-08,0.50pct_equity,0.37,0.74,1.59,3.17,False,False,False,False
canonical,2025-09,0.50pct_equity,2.81,5.62,12.07,24.15,True,True,True,False
canonical,2025-10,0.50pct_equity,4.02,8.04,17.29,34.57,True,True,True,False
canonical,2025-11,0.50pct_equity,1.81,3.61,7.76,15.52,True,False,False,False
canonical,2025-12,0.50pct_equity,1.56,3.12,6.71,13.42,True,False,False,False
canonical,2020-01,0.75pct_equity,0.36,0.71,1.54,3.07,False,False,False,False
canonical,2020-02,0.75pct_equity,0.55,1.1,2.38,4.75,False,False,False,False
canonical,2020-03,0.75pct_equity,1.66,3.33,7.16,14.31,True,False,False,False
canonical,2020-04,0.75pct_equity,0.69,1.38,2.96,5.93,False,False,False,False
canonical,2020-05,0.75pct_equity,0.53,1.06,2.28,4.56,False,False,False,False
canonical,2020-06,0.75pct_equity,0.31,0.62,1.34,2.68,False,False,False,False
canonical,2020-07,0.75pct_equity,1.43,2.85,6.14,12.28,True,False,False,False
canonical,2020-08,0.75pct_equity,1.31,2.62,5.62,11.25,True,False,False,False
canonical,2020-09,0.75pct_equity,0.22,0.43,0.93,1.86,False,False,False,False
canonical,2020-10,0.75pct_equity,0.24,0.48,1.04,2.07,False,False,False,False
