trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t99_00034,99,retrospective_2026,2026-03-09 22:00:00+00:00,2026-03-10 00:00:00+00:00,LONG,,PULLBACK,0.714153,0.778461,0.0025,0.002473,253.63,0.02,5133.12,5007.667,5384.0261,5141.7635,TIMEOUT,0.068158,0.054043,17.29,13.71,0.14,3.58,250.91,101450.37,101464.08,0.0,0.0,dec_20260713T104640135388
t99_00035,99,retrospective_2026,2026-03-10 15:00:00+00:00,2026-03-10 17:00:00+00:00,LONG,,CONTINUATION,0.661477,0.72256,0.003,0.002186,304.39,0.02,5181.8342,5070.9173,5403.6682,5217.4015,TIMEOUT,0.233695,0.223192,71.13,67.94,0.14,3.2,221.83,101464.08,101532.02,0.0,0.0,dec_20260713T104640184839
t99_00036,99,retrospective_2026,2026-03-10 17:00:00+00:00,2026-03-10 19:00:00+00:00,LONG,,CONTINUATION,0.760454,0.789891,0.003,0.002169,304.6,0.02,5207.0143,5096.8878,5427.2671,5227.6125,TIMEOUT,0.135248,0.124752,41.2,38.0,0.14,3.2,220.25,101532.02,101570.02,0.0,0.0,dec_20260713T104640190260
t99_00037,99,retrospective_2026,2026-03-20 06:00:00+00:00,2026-03-20 08:00:00+00:00,LONG,,CONTINUATION,0.617277,0.670787,0.0025,0.001855,253.93,0.01,4698.8417,4510.3959,5075.7335,4688.205,TIMEOUT,-0.041889,-0.048282,-10.64,-12.26,0.07,1.62,188.45,101570.02,101557.76,0.000121,0.000121,dec_20260713T104640676635
t99_00038,99,retrospective_2026,2026-03-24 23:00:00+00:00,2026-03-25 01:00:00+00:00,LONG,,CONTINUATION,0.753577,0.863537,0.003,0.001817,304.67,0.01,4401.1673,4216.684,4770.1337,4515.565,TIMEOUT,0.375481,0.369886,114.4,112.69,0.07,1.7,184.48,101557.76,101670.45,0.0,0.0,dec_20260713T104640876637
t99_00039,99,retrospective_2026,2026-03-25 03:00:00+00:00,2026-03-25 05:00:00+00:00,LONG,,CONTINUATION,0.606934,0.782374,0.003,0.00227,305.01,0.01,4555.7647,4324.9424,5017.4094,4576.91,TIMEOUT,0.069326,0.063984,21.15,19.52,0.07,1.63,230.82,101670.45,101689.96,0.0,0.0,dec_20260713T104640886979
t99_00040,99,retrospective_2026,2026-03-25 04:00:00+00:00,2026-03-25 06:00:00+00:00,LONG,,CONTINUATION,0.586851,0.727973,0.003,0.002223,305.07,0.01,4567.8242,4341.7812,5019.9103,4570.0975,TIMEOUT,0.007452,0.002143,2.27,0.65,0.07,1.62,226.04,101689.96,101690.62,0.0,0.0,dec_20260713T104640889812
t99_00041,99,retrospective_2026,2026-03-27 16:00:00+00:00,2026-03-27 18:00:00+00:00,LONG,,CONTINUATION,0.86999,0.932813,0.0025,0.001569,254.23,0.01,4438.8517,4279.3134,4757.9285,4520.55,TIMEOUT,0.321356,0.315127,81.7,80.11,0.07,1.58,159.54,101690.62,101770.73,0.0,0.0,dec_20260713T104641004649
t99_00042,99,retrospective_2026,2026-03-27 17:00:00+00:00,2026-03-27 19:00:00+00:00,LONG,,CONTINUATION,0.740111,0.876229,0.0025,0.001664,254.43,0.01,4471.4317,4302.0984,4810.0985,4515.6943,TIMEOUT,0.173967,0.167744,44.26,42.68,0.07,1.58,169.33,101770.73,101813.41,0.0,0.0,dec_20260713T104641009595
t99_00043,99,retrospective_2026,2026-03-30 07:00:00+00:00,2026-03-30 09:00:00+00:00,LONG,,CONTINUATION,0.81996,0.918431,0.003,0.001678,305.44,0.01,4496.8867,4326.0262,4838.6078,4532.455,TIMEOUT,0.116449,0.111101,35.57,33.93,0.07,1.63,170.86,101813.41,101847.35,0.0,0.0,dec_20260713T104641035489
t99_00044,99,retrospective_2026,2026-03-30 08:00:00+00:00,2026-03-30 10:00:00+00:00,LONG,,CONTINUATION,0.753734,0.887097,0.003,0.001552,305.54,0.01,4497.7518,4339.6685,4813.9182,4527.37,TIMEOUT,0.096937,0.091624,29.62,27.99,0.07,1.62,158.08,101847.35,101875.34,0.0,0.0,dec_20260713T104641040448
t99_00045,99,retrospective_2026,2026-03-31 19:00:00+00:00,2026-03-31 21:00:00+00:00,LONG,,CONTINUATION,0.861936,0.914608,0.003,0.002663,305.63,0.02,4610.2843,4474.6526,4881.5475,4667.47,TIMEOUT,0.374216,0.363755,114.37,111.17,0.14,3.2,271.26,101875.34,101986.52,0.0,0.0,dec_20260713T104641089577
t99_00046,99,retrospective_2026,2026-03-31 21:00:00+00:00,2026-03-31 23:00:00+00:00,LONG,,CONTINUATION,0.838463,0.865828,0.003,0.002812,305.96,0.02,4655.3867,4512.001,4942.1582,4667.565,TIMEOUT,0.079607,0.069256,24.36,21.19,0.14,3.17,286.77,101986.52,102007.71,0.0,0.0,dec_20260713T104641094920
t99_00047,99,retrospective_2026,2026-04-01 14:00:00+00:00,2026-04-01 16:00:00+00:00,LONG,,CONTINUATION,0.613077,0.687423,0.003,0.002356,306.02,0.02,4732.0792,4611.9307,4972.3764,4738.1875,TIMEOUT,0.039921,0.029408,12.22,9.0,0.14,3.22,240.3,102007.71,102016.7,0.0,0.0,dec_20260713T104641140948
t99_00048,99,retrospective_2026,2026-04-01 17:00:00+00:00,2026-04-01 19:00:00+00:00,LONG,,CONTINUATION,0.614661,0.790778,0.003,0.002554,306.05,0.02,4737.2467,4606.9473,4997.8457,4787.21,TIMEOUT,0.326504,0.316156,99.93,96.76,0.14,3.17,260.6,102016.7,102113.46,0.0,0.0,dec_20260713T104641154908
t99_00049,99,retrospective_2026,2026-04-06 06:00:00+00:00,2026-04-06 08:00:00+00:00,LONG,,CONTINUATION,0.738155,0.819434,0.0025,0.002419,255.28,0.02,4648.7368,4525.2128,4895.7846,4652.6025,TIMEOUT,0.030286,0.017724,7.73,4.52,0.14,3.21,247.05,102113.46,102117.99,0.0,0.0,dec_20260713T104641228473
t99_00050,99,retrospective_2026,2026-04-06 08:00:00+00:00,2026-04-06 10:00:00+00:00,LONG,,CONTINUATION,0.690821,0.852474,0.0025,0.002111,255.29,0.02,4659.9417,4552.1784,4875.4685,4684.755,TIMEOUT,0.194393,0.18183,49.63,46.42,0.14,3.21,215.53,102117.99,102164.41,0.0,0.0,dec_20260713T104641233358
t99_00051,99,retrospective_2026,2026-04-07 19:00:00+00:00,2026-04-07 21:00:00+00:00,LONG,,CONTINUATION,0.805163,0.824441,0.0025,0.002407,255.41,0.02,4656.3718,4533.4126,4902.29,4662.19,TIMEOUT,0.04556,0.033552,11.64,8.57,0.14,3.07,245.92,102164.41,102172.98,0.0,0.0,dec_20260713T104641287868
t99_00052,99,retrospective_2026,2026-04-07 20:00:00+00:00,2026-04-07 22:00:00+00:00,LONG,,CONTINUATION,0.895415,0.906077,0.0025,0.002493,255.43,0.02,4657.8917,4530.5367,4912.6017,4700.805,TIMEOUT,0.336008,0.324157,85.83,82.8,0.14,3.03,254.71,102172.98,102255.78,0.0,0.0,dec_20260713T104641290756
t99_00053,99,retrospective_2026,2026-04-09 17:00:00+00:00,2026-04-09 19:00:00+00:00,LONG,,CONTINUATION,0.806852,0.814868,0.0025,0.001808,255.64,0.02,4765.1792,4672.7637,4950.0103,4788.845,TIMEOUT,0.185149,0.173347,47.33,44.31,0.14,3.02,184.83,102255.78,102300.09,0.0,0.0,dec_20260713T104641394791
t99_00054,99,retrospective_2026,2026-04-09 18:00:00+00:00,2026-04-09 20:00:00+00:00,LONG,,CONTINUATION,0.675914,0.6849,0.0025,0.001919,255.75,0.02,4769.5292,4671.3514,4965.885,4797.8225,TIMEOUT,0.221257,0.20946,56.59,53.57,0.14,3.02,196.36,102300.09,102353.66,0.0,0.0,dec_20260713T104641397750
t99_00055,99,retrospective_2026,2026-04-13 23:00:00+00:00,2026-04-14 02:00:00+00:00,LONG,,CONTINUATION,0.732443,0.800828,0.0025,0.002262,255.88,0.03,4742.0917,4664.926,4896.4232,4757.665,TIMEOUT,0.182585,0.162847,46.72,41.67,0.21,5.05,231.5,102353.66,102395.33,0.0,0.0,dec_20260713T104641540158
t99_00056,99,retrospective_2026,2026-04-14 01:00:00+00:00,2026-04-14 03:00:00+00:00,LONG,,CONTINUATION,0.846675,0.901251,0.0025,0.002292,255.99,0.03,4746.5467,4668.3239,4902.9925,4769.825,TIMEOUT,0.272803,0.252956,69.83,64.75,0.21,5.08,234.67,102395.33,102460.08,0.0,0.0,dec_20260713T104641545036
t99_00057,99,retrospective_2026,2026-04-14 02:00:00+00:00,2026-04-14 04:00:00+00:00,LONG,,CONTINUATION,0.74593,0.81255,0.0025,0.00231,256.15,0.03,4758.8768,4679.9723,4916.6857,4764.965,TIMEOUT,0.071305,0.050885,18.26,13.03,0.21,5.23,236.71,102460.08,102473.12,0.0,0.0,dec_20260713T104641549920
t99_00058,99,retrospective_2026,2026-04-14 08:00:00+00:00,2026-04-14 10:00:00+00:00,LONG,,CONTINUATION,0.824553,0.848864,0.0025,0.00204,256.18,0.03,4774.9518,4705.2585,4914.3382,4777.24,TIMEOUT,0.026797,0.008487,6.86,2.17,0.21,4.69,209.08,102473.12,102475.29,0.0,0.0,dec_20260713T104641571661
